Impairment Number,Rank,Impairment,Category
13.09.00.00,5,Upper Extremities,13
13.10.01.00,7,Spinal Cord Disorder - Respiratory,13
13.10.02.00,2,Spinal Cord Disorder - Urinary,13
13.10.03.00,2,Spinal Cord Disorder - Anorectal,13
13.10.04.00,2,Spinal Cord Disorder - Sexual,13
13.11.01.01,5,Chronic Pain - Upper Extremities - Causalgia,13
13.11.01.02,5,Chronic Pain - Upper Extremities - Post-traumatic Neuralgia,13
13.11.01.03,5,Chronic Pain - Upper Extremities - Reflex Sympathetic Dystrophy,13
13.11.02.01,5,Chronic Pain - Lower Extremities - Causalgia,13
13.11.02.02,5,Chronic Pain - Lower Extremities - Post-traumatic Neuralgia,13
13.11.02.03,5,Chronic Pain - Lower Extremities - Reflex Sympathetic Dystrophy,13
13.12.01.01,5,Peripheral Nerve System - Spine - Sensory,13
13.12.01.02,5,Peripheral Nerve System - Spine - Motor,13
13.12.02.01,5,Peripheral Nerve System - Upper Extremity - Sensory,13
13.12.02.02,5,Peripheral Nerve System - Upper Extremity - Motor,13
13.12.03.01,5,Peripheral Nerve System - Lower Extremity - Sensory,13
13.12.03.02,5,Peripheral Nerve System - Lower Extremity - Motor,13
14.01.00.00,8,Psychiatric - Mental and Behavioral,14
15.01.01.00,5,Cervical - Diagnosis-related Estimate (DRE),15
15.01.02.01,5,Cervical - Range of Motion (ROM) - Fracture,15
15.01.02.02,5,Cervical - Range of Motion - Soft Tissue Lesion,15
15.01.02.03,5,"Cervical - Range of Motion - Spondylolysis, no operation",15
15.01.02.04,5,"Cervical - Range of Motion - Stenosis, with operation",15
15.01.02.05,5,Cervical - Range of Motion - Nerve Root/Spinal Cord - Sensory,15
15.01.02.06,5,Cervical - Range of Motion - Nerve Root/Spinal Cord - Motor,15
15.02.01.00,5,Thoracic - Diagnosis-related Estimate,15
15.02.02.01,5,Thoracic - Range of Motion - Fracture,15
15.02.02.02,5,Thoracic - Range of Motion - Soft Tissue Lesion,15
15.02.02.03,5,"Thoracic - Range of Motion - Spondylolysis, no operation",15
15.02.02.04,5,"Thoracic - Range of Motion - Stenosis, with operation",15
15.02.02.05,5,Thoracic - Range of Motion - Nerve Root/Spinal Cord - Sensory,15
15.02.02.06,5,Thoracic - Range of Motion - Nerve Root/Spinal Cord - Motor,15
15.03.01.00,5,Lumbar - Diagnosis-related Estimate,15
15.03.02.01,5,Lumbar - Range of Motion - Fracture,15
15.03.02.02,5,Lumbar - Range of Motion - Soft Tissue Lesion,15
15.03.02.03,5,"Lumbar - Range of Motion - Spondylolysis, no operation",15
15.03.02.04,5,"Lumbar - Range of Motion - Stenosis, with operation",15
15.03.02.05,5,Lumbar - Range of Motion - Nerve Root/Spinal Cord - Sensory,15
15.03.02.06,5,Lumbar - Range of Motion - Nerve Root/Spinal Cord - Motor,15
15.04.01.00,5,Corticospinal Tract - One Upper Extremity,15
15.04.02.00,5,Corticospinal Tract - Two Upper Extremities,15
15.04.03.00,5,Corticospinal Tract - Station/Gait Disorder,15
15.04.04.00,2,Corticospinal Tract - Bladder Impairment,15
15.04.05.00,2,Corticospinal Tract - Anorectal Impairment,15
15.04.06.00,2,Corticospinal Tract - Sexual Impairment,15
15.04.07.00,7,Corticospinal Tract - Respiratory Impairment,15
15.05.01.00,5,Pelvic - Healed Fracture,15
15.05.02.00,5,Pelvic - Healed Fracture with Displacement,15
15.05.03.00,5,Pelvic - Healed Fracture with Deformity,15
16.01.01.01,5,Arm - Amputation/Deltoid insertion proximally,16
16.01.01.02,5,Arm - Amputation/Bicipital insertion proximally,16
16.01.01.03,5,Arm - Amputation/Wrist proximally,16
16.01.01.04,5,Arm - Amputation/All fingers at MP joint proximally,16
16.01.02.01,5,Arm - Peripheral neuropathy - Brachial plexus,16
16.01.02.02,4,Arm - Peripheral neuropathy - Entrapment/compression - Carpal tunnel,16
16.01.02.03,5,Arm - Peripheral neuropathy - Entrapment/compression - Other,16
16.01.02.04,5,Arm - Peripheral neuropathy - CRPS I,16
16.01.02.05,5,Arm - Peripheral neuropathy - CRPS II,16
16.01.03.00,5,Arm - Peripheral vascular,16
16.01.04.00,4,Arm - Grip/pinch strength,16
16.01.05.00,5,Arm - Other,16
16.02.01.00,7,Shoulder - Range of motion,16
16.02.02.00,7,Shoulder - Other,16
16.03.01.00,2,Elbow/forearm - Range of motion,16
16.03.02.00,2,Elbow/forearm - Other,16
16.04.01.00,4,Wrist - Range of motion,16
16.04.02.00,4,Wrist - Other,16
16.05.01.00,1,Hand/multiple fingers - Range of motion,16
16.05.02.00,1,Hand/multiple fingers - Amputation,16
16.05.03.00,1,Hand/multiple fingers - Sensory,16
16.05.04.00,1,Hand/multiple fingers - Other,16
16.06.01.01,1,Thumb - Range of motion,16
16.06.01.02,1,Thumb - Amputation,16
16.06.01.03,1,Thumb - Sensory,16
16.06.01.04,1,Thumb - Other,16
16.06.02.01,1,Index - Range of motion,16
16.06.02.02,1,Index - Amputation,16
16.06.02.03,1,Index - Sensory,16
16.06.02.04,1,Index - Other,16
16.06.03.01,1,Middle - Range of motion,16
16.06.03.02,1,Middle - Amputation,16
16.06.03.03,1,Middle - Sensory,16
16.06.03.04,1,Middle - Other,16
16.06.04.01,1,Ring - Range of motion,16
16.06.04.02,1,Ring - Amputation,16
16.06.04.03,1,Ring - Sensory,16
16.06.04.04,1,Ring - Other,16
16.06.05.01,1,Little - Range of motion,16
16.06.05.02,1,Little - Amputation,16
16.06.05.03,1,Little - Sensory,16
16.06.05.04,1,Little - Other,16
17.01.01.00,5,Leg - Limb Length,17
17.01.02.01,5,Leg - Amputation/Knee proximally,17
17.01.02.02,5,Leg - Amputation/MTP joint proximally,17
17.01.03.00,5,Leg - Skin Loss,17
17.01.04.00,5,Leg - Peripheral Nerve,17
17.01.05.00,5,Leg - Vascular,17
17.01.06.00,5,Leg - Causalgia/RSD,17
17.01.07.00,5,Leg - Gait Derangement,17
17.01.08.00,5,Leg - Other,17
17.02.10.00,5,Pelvis - Diagnosis-based estimate (DBE) - Fracture,17
17.03.01.00,5,Hip - Muscle Atrophy,17
17.03.02.00,5,Hip - Ankylosis,17
17.03.03.00,5,Hip - Arthritis,17
17.03.04.00,5,Hip - Range of Motion,17
17.03.05.00,5,Hip - Muscle Strength,17
17.03.06.00,5,Hip - Other,17
17.03.10.01,5,Hip - Diagnosis-based Estimate - Hip/Replacement,17
17.03.10.02,5,Hip - Diagnosis-based Estimate - Hip/Femoral Neck Fracture,17
17.03.10.03,5,Hip - Diagnosis-based Estimate - Hip/Arthroplasty,17
17.03.10.04,5,Hip - Diagnosis-based Estimate - Trochanteric bursitis,17
17.04.10.00,5,Femur - Diagnosis-based Estimate - Fracture,17
17.05.01.00,2,Knee - Muscle Atrophy,17
17.05.02.00,2,Knee - Ankylosis,17
17.05.03.00,2,Knee - Arthritis,17
17.05.04.00,2,Knee - Range of Motion,17
17.05.05.00,2,Knee - Muscle Strength,17
17.05.06.00,2,Knee - Other,17
17.05.10.01,2,Knee - Diagnosis-based Estimate - Subluxation/dislocation,17
17.05.10.02,2,Knee - Diagnosis-based Estimate - Fracture,17
17.05.10.03,2,Knee - Diagnosis-based Estimate - Patellectomy,17
17.05.10.04,2,Knee - Diagnosis-based Estimate - Menisectomy,17
17.05.10.05,2,Knee - Diagnosis-based Estimate - Cruciate/collateral Ligament,17
17.05.10.06,2,Knee - Diagnosis-based Estimate - Plateau Fracture,17
17.05.10.07,2,Knee - Diagnosis-based Estimate - Supra/Intercondylar Fracture,17
17.05.10.08,2,Knee - Diagnosis-based Estimate - Total Replacement,17
17.05.10.09,2,Knee - Diagnosis-based Estimate - Proximal Tibial Osteotomy,17
17.06.10.00,5,Tibia/fibula - Diagnosis-based Estimate - fracture,17
17.07.01.00,2,Ankle - Muscle Atrophy,17
17.07.02.00,2,Ankle - Ankylosis,17
17.07.03.00,2,Ankle - Arthritis,17
17.07.04.00,2,Ankle - Range of Motion,17
17.07.05.00,2,Ankle - Muscle Strength,17
17.07.06.00,2,Ankle - Other,17
17.07.10.01,2,Ankle - Diagnosis-based Estimate - Ligament Instability,17
17.07.10.02,2,Ankle - Diagnosis-based Estimate - Fracture,17
17.08.01.00,2,Foot - Muscle Atrophy,17
17.08.02.00,2,Foot - Ankylosis,17
17.08.03.00,2,Foot - Arthritis,17
17.08.04.00,2,Foot - Range of Motion,17
17.08.05.00,2,Foot - Muscle Strength,17
17.08.06.00,2,Foot - Other,17
17.08.10.01,2,Foot - Diagnosis-based Estimate - Hind Foot Fracture,17
17.08.10.02,2,Foot - Diagnosis-based Estimate - Loss of Tibia,17
17.08.10.03,2,Foot - Diagnosis-based Estimate - Intra-articular Fracture,17
17.08.10.04,2,Foot - Diagnosis-based Estimate - Calvus,17
17.08.10.05,2,Foot - Diagnosis-based Estimate - Rocker Bottom,17
17.08.10.06,2,Foot - Diagnosis-based Estimate - Avascular Necrosis,17
17.08.10.07,2,Foot - Diagnosis-based Estimate - Metatarsal fracture,17
17.09.01.00,5,Toes - Muscle Atrophy,17
17.09.02.00,5,Toes - Ankylosis,17
17.09.03.00,5,Toes - Arthritis,17
17.09.04.00,5,Toes - Range of Motion,17
17.09.05.00,5,Toes - Muscle Strength,17
17.09.06.00,5,Toes - Amputation,17
17.09.07.00,5,Toes - Other,17
